#
Type us-east-1a us-west-2b ap-northeast-1a eu-west-1c sa-east-1b
linux.m1.small 0.990224620597 0.990928034189 0.986552880273 0.99828118186 0.9919469990
linux.m3.large 0.990616226809 0.982334861373 0.996006601696 0.992627834202 0.995303188105
